CP-Line #,Source,SubClass, Name,"Synonym, common name, synthetic identifier",IUPAC (reference standard),IUPAC  (Omic),InChiKey  (reference standard),InChiKey (Omic),Monoisotopic Mass g/mol,Molecular Formula (reference standard),Molecular Formula (Omic),Formula wt (g/mol),Molecular Weight,CAS (reference standard),CAS (Omic),"Commercial, Synthetic, or Putative",HMDB (reference standard),HMDB (Omic),PUBCHEM (reference standard),PUBCHEM (omic),CORE Packet (CP)
173,Metabolite,isoflavone metabolite,Daidzein-4-O-glucuronide-7-sulfate,Daidzein 4'-glucuronide-7-sulfate,"(2R,4R,6R)-3,4,5-trihydroxy-6-{4-[4-oxo-7-(sulfooxy)-4H-chromen-3-yl]phenoxy}oxane-2-carboxylic acid","(2R,4R,6R)-3,4,5-trihydroxy-6-{4-[4-oxo-7-(sulfooxy)-4H-chromen-3-yl]phenoxy}oxane-2-carboxylic acid",HQYWZCFQCBVQJZ-HGMWCATMSA-N,HQYWZCFQCBVQJZ-HGMWCATMSA-N,510.0468118,C21H18O13S,C21H18O13S,510.4,510.4,N/A,N/A,Commercial,HMDB0240494,HMDB0240494,N/A,N/A,CP04
16,Fed,Flavone,tricin,"4′,5,7-Trihydroxy 3′,5′-dimethoxyflavone","5,7-dihydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)chromen-4-one","5,7-dihydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)chromen-4-one",HRGUSFBJBOKSML-UHFFFAOYSA-N,HRGUSFBJBOKSML-UHFFFAOYSA-N,330.073953,C17H14O7,C17H14O7,330.29,330.29,520-32-1,520-32-1,data not pulled from DB,HMDB0124861,HMDB0124861,5281702,5281702,CP05
87,Fed,flavan-3-ol,(-)-epicatechin-3-O-p-hydroxybenzoate,3-(4-hydroxybenzoyl)epicatechin,"[(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl] 4-hydroxybenzoate","[(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl] 4-hydroxybenzoate",HRNWMQFQEGGZKA-NHCUHLMSSA-N,HRNWMQFQEGGZKA-NHCUHLMSSA-N,410.100168,C22H18O8,C22H18O8,410.4,410.4,108907-45-5,108907-45-5,Commercial,HMDB0039327,HMDB0039327,10764037,10764037,CP03
101,Fed,anthraquinone ,emodin-8-O-β D--glucopyranoside,Emodin-8-O-glucoside,"1,6-dihydroxy-3-methyl-8-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyanthracene-9,10-dione","1,6-dihydroxy-3-methyl-8-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyanthracene-9,10-dione",HSWIRQIYASIOBE-JNHRPPPUSA-N,HSWIRQIYASIOBE-JNHRPPPUSA-N,432.105647,C21H20O10,C21H20O10,432.4,432.4,23313-21-5,23313-21-5,Commercial,N/A,N/A,99649,99649,CP03
15,Diet/Food,lignan,enterolactone,(+/-)-enterolactone,"(3R,4R)-3,4-bis[(3-hydroxyphenyl)methyl]oxolan-2-one  ","(3R,4R)-3,4-bis[(3-hydroxyphenyl)methyl]oxolan-2-one  ",HVDGDHBAMCBBLR-WMLDXEAASA-N,HVDGDHBAMCBBLR-WMLDXEAASA-N,298.120509,C18H18O4,C18H18O4,298.3,298.3,78473-71-9,78473-71-9,Not Established,HMDB0006101,HMDB0006101,10685477 ,10685477 ,CP2
340,metabolite,methylpyridine,4-pyridoxic acid   ,Pyridoxate,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,HXACOUQIXZGNBF-UHFFFAOYSA-N,HXACOUQIXZGNBF-UHFFFAOYSA-N,183.0531578,C8H9NO4,C8H9NO4,183.163,183.163,82-82-6,82-82-6,Commercial,HMDB00017,HMDB00017,6723,6723,CP1
311,Metabolite,coumarin metbolites,o-hydroxyphenyllactic acid (o-HPLA); 2-hydroxyphenyllactic acid,2-hydroxy-3-(2-hydroxyphenyl)propanoic acid,2-hydroxy-3-(2-hydroxyphenyl)propanoic acid,2-hydroxy-3-(2-hydroxyphenyl)propanoic acid,HXQBZGMVGIDZAJ-UHFFFAOYSA-N  ,HXQBZGMVGIDZAJ-UHFFFAOYSA-N  ,182.0579088,C9H10O4,C9H10O4,182.1733,182.1733,6803-09-4,6803-09-4,Commercial,HMDB0033624,HMDB0033624,3083977  ,3083977  ,CP03
188,Metabolite,Avenanthramide metabolites,5-hydroxyanthranilic acid,2-Amino-5-hydroxybenzoic acid,2-amino-5-hydroxybenzoic acid,2-amino-5-hydroxybenzoic acid,HYNQTSZBTIOFKH-UHFFFAOYSA-N,HYNQTSZBTIOFKH-UHFFFAOYSA-N,153.042593,C7H7NO3,C7H7NO3,153.14,153.14,394-31-0,394-31-0,data not pulled from DB,N/A,N/A,164592,164592,CP05
388,metabolite,phenylacetic acid,3-methoxyphenylacetic acid-4-sulfate,Homovanillic acid sulfate,2-(3-methoxy-4-sulfooxyphenyl)acetic acid,2-(3-methoxy-4-sulfooxyphenyl)acetic acid,IACOAKYXFIWAQN-UHFFFAOYSA-N,IACOAKYXFIWAQN-UHFFFAOYSA-N,262.0147234,C9H10O7S,C9H10O7S,262.232,262.232,38339-06-9,38339-06-9,commercial,HMDB0011719,HMDB0011719,29981063,29981063,CP1
69,metabolite,benzaldehyde,3-hydroxybenzaldehyde   ,M-Formylphenol; M-Hydroxybenzaldehyde; 3-Formylphenol,3-hydroxybenzaldehyde,3-hydroxybenzaldehyde,IAVREABSGIHHMO-UHFFFAOYSA-N,IAVREABSGIHHMO-UHFFFAOYSA-N,122.036779,C7H6O2,C7H6O2,122.12,122.12,100-83-4,100-83-4,commercial,N/A,N/A,101,101,CP1
63,metabolite,benzaldehyde,"3,4-dihydroxybenzaldehyde   ","3,4-Dihydroxybenzaldehyde; Protocatechualdehyde; Rancinamycin IV; PROTOCATECHUIC ALDEHYDE","3,4-dihydroxybenzaldehyde","3,4-dihydroxybenzaldehyde",IBGBGRVKPALMCQ-UHFFFAOYSA-N,IBGBGRVKPALMCQ-UHFFFAOYSA-N,138.0316941,C7H6O3,C7H6O3,138.12,138.12,139-85-5,139-85-5,commercial,HMDB0059965,HMDB0059965,8768,8768,CP1
41,Fed,Avenanthramide,Avenanthramide C,N/A,"2-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]amino]-5-hydroxybenzoic acid","2-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]amino]-5-hydroxybenzoic acid",IDUUXROOZBOOPH-QHHAFSJGSA-N,IDUUXROOZBOOPH-QHHAFSJGSA-N,315.074287,C16H13NO6,C16H13NO6,315.28,315.28,116764-15-9,116764-15-9,data not pulled from DB,HMDB0038576,HMDB0038576,11723200,11723200,CP05
51,Genistein Metabolite,Genistein Metabolite,6-hydroxy-O-desmethylangolensin,N/A,"2-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one","2-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",IEFUAUZFJJOQMC-UHFFFAOYSA-N,IEFUAUZFJJOQMC-UHFFFAOYSA-N,274.084124,C15H14O5,C15H14O5,274.27,274.27,153409-52-0,153409-52-0,Not Established,HMDB0041695,HMDB0041695,20601635 ,20601635 ,CP2
140,fed/metabolite,benzoic acid,3-hydroxybenzoic acid   ,m-Salicylic Acid,3-hydroxybenzoic acid,3-hydroxybenzoic acid,IJFXRHURBJZNAO-UHFFFAOYSA-N,IJFXRHURBJZNAO-UHFFFAOYSA-N,138.0316941,C7H6O3,C7H6O3,138.12,138.12,99-06-9,99-06-9,Commercial,HMDB02466,HMDB02466,7420,7420,CP1
319,fed/metabolite,flavonol,rutin,Quercetin 3-rutinoside,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",IKGXIBQEEMLURG-NVPNHPEKSA-N,IKGXIBQEEMLURG-NVPNHPEKSA-N,610.1533849,C27H30O16,C27H30O16,610.5175,610.5175,153-18-4,153-18-4,Commercial,HMDB0003249,HMDB0003249,5280805,5280805,CP1
311,metabolite,flavonol,myricetin    ,Cannabiscetin,"3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one","3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one",IKMDFBPHZNJCSN-UHFFFAOYSA-N,IKMDFBPHZNJCSN-UHFFFAOYSA-N,318.0375673,C15H10O8,C15H10O8,318.23,318.23,529-44-2,529-44-2,commercial,HMDB0002755,HMDB0002755,5281672,5281672,CP1
315,Metabolite,coumarin metbolites,"6,7-dihydroxycoumarin (6,7-diHC); Esculetin","6,7-dihydroxycoumarin; Aesculetin","6,7-dihydroxychromen-2-one","6,7-dihydroxychromen-2-one",ILEDWLMCKZNDJK-UHFFFAOYSA-N,ILEDWLMCKZNDJK-UHFFFAOYSA-N,178.0266087,C9H6O4,C9H6O4,178.143,178.143,305-01-1,305-01-1,Commercial,HMDB0030819,HMDB0030819,5281416 ,5281416 ,CP03
319,Metabolite,resveratrol metabolites,lunularin,"lunularin; 3,4'-dihydroxybibenzyl",3-[2-(4-hydroxyphenyl)ethyl]phenol,3-[2-(4-hydroxyphenyl)ethyl]phenol,ILEYXPCRQKRNIJ-UHFFFAOYSA-N,ILEYXPCRQKRNIJ-UHFFFAOYSA-N,214.09938,C14H14O2,C14H14O2,214.26,214.26,37116-80-6,37116-80-6,Commercial,N/A,N/A,181511,181511,CP03
125,metabolite,benzoic acid,2-methoxybenzoic acid,methoxybenzoic acid,2-methoxybenzoic acid,2-methoxybenzoic acid,ILUJQPXNXACGAN-UHFFFAOYSA-N,ILUJQPXNXACGAN-UHFFFAOYSA-N,152.0473441,C8H8O3,C8H8O3,152.149,152.149,579-75-9,579-75-9,Commercial,HMDB32604,HMDB32604,11370,11370,CP1
32,Fed,Phytic acid,phytic acid,Fytic acid,"(2,3,4,5,6-pentaphosphonooxycyclohexyl) dihydrogen phosphate","(2,3,4,5,6-pentaphosphonooxycyclohexyl) dihydrogen phosphate",IMQLKJBTEOYOSI-UHFFFAOYSA-N,IMQLKJBTEOYOSI-UHFFFAOYSA-N,659.861373,C6H18O24P6,C6H18O24P6,660.04,660.04,83-86-3,83-86-3,data not pulled from DB,HMDB0003502,HMDB0003502,890,890,CP05
42,Fed,Avenanthramide,Avenanthramide 1p,Avenanthramide D,2-[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]amino]benzoic acid,2-[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]amino]benzoic acid,INBHLTYBRKASIZ-JXMROGBWSA-N,INBHLTYBRKASIZ-JXMROGBWSA-N,283.084458,C16H13NO4,C16H13NO4,283.28,283.28,53901-55-6,53901-55-6,data not pulled from DB,HMDB0029282,HMDB0029282,6443019,6443019,CP05
481,metabolite,xanthonoid,7-O-methylmangiferin,NA,"1,3,6-trihydroxy-7-methoxy-2-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]xanthen-9-one","1,3,6-trihydroxy-7-methoxy-2-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]xanthen-9-one",INBSFHNHCNZEOY-PQSJUMPYSA-N,INBSFHNHCNZEOY-PQSJUMPYSA-N,436.100561 ,C20H20O11,C20H20O11,436.369,436.369,31002-12-7,31002-12-7,commercial,N/A,N/A,101916326,101916326,CP1
336,metabolite,Internal standard,phloridzin   ,Phlorizin,"1-[2,4-dihydroxy-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-3-(4-hydroxyphenyl)propan-1-one",N/A,IOUVKUPGCMBWBT-QNDFHXLGSA-N,IOUVKUPGCMBWBT-QNDFHXLGSA-N,436.136947,C21H24O10,C21H24O10,436.41,436.41,60-81-1,60-81-1,commercial,HMDB0036634,HMDB0036634,6072,6072,CP1
69,formononetin metabolite,formononetin metabolite,"3,4,5,7-tetrahydroxyisoflavone","Orobol, Isoluteolin","3-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one","3-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",IOYHCQBYQJQBSK-UHFFFAOYSA-N,IOYHCQBYQJQBSK-UHFFFAOYSA-N,286.047738,C15H10O6,C15H10O6,286.24,286.24,480-23-9,480-23-9,Not Established,HMDB0041658,HMDB0041658,5281801 ,5281801 ,CP2
270,Metabolite,beta-Sitosteryl metabolites,beta-Sitosteryl sulphate,beta-Sitosteryl sulfate,"[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] hydrogen sulfate","[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] hydrogen sulfate",IPVNPUHVCZJVOI-VJSFXXLFSA-N,IPVNPUHVCZJVOI-VJSFXXLFSA-N,494.342981,C29H50O4S,C29H50O4S,494.8,494.8,24815-93-8,24815-93-8,Commercial,N/A,N/A,3037102,3037102,CP03
126,Fed,flavone,luteolin,"3',4',5,7-Tetrahydroxyflavone","2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one","2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",IQPNAANSBPBGFQ-UHFFFAOYSA-N,IQPNAANSBPBGFQ-UHFFFAOYSA-N,286.047738,C15H10O6,C15H10O6,286.24,286.24,491-70-3,491-70-3,Commercial,HMDB0005800,HMDB0005800,5280445,5280445,CP03
434,metabolite,resorcinol,pentylresorcinol,Olivetol,"5-pentylbenzene-1,3-diol","5-pentylbenzene-1,3-diol",IRMPFYJSHJGOPE-UHFFFAOYSA-N,IRMPFYJSHJGOPE-UHFFFAOYSA-N,180.11503,C₁₁H₁₆O₂,C₁₁H₁₆O₂,180.24,180.24,500-66-3,500-66-3,commercial,N/A,N/A,10377,10377,CP1
134,Fed,nucleobase,uracil,"2,4-Dihydroxypyrimidine","1H-pyrimidine-2,4-dione","1H-pyrimidine-2,4-dione",ISAKRJDGNUQOIC-UHFFFAOYSA-N,ISAKRJDGNUQOIC-UHFFFAOYSA-N,112.027277,C4H4N2O2,C4H4N2O2,112.09,112.09,66-22-8,66-22-8,Commercial,HMDB0000300,HMDB0000300,1174,1174,CP03
57,metabolite,benzaldehyde,"2,4-dihydroxybenzaldehyde   ",β-Resorcylaldehyde,"2,4-dihydroxybenzaldehyde","2,4-dihydroxybenzaldehyde",IUNJCFABHJZSKB-UHFFFAOYSA-N,IUNJCFABHJZSKB-UHFFFAOYSA-N,138.0316941,C7H6O3,C7H6O3,138.12,138.12,95-01-2,95-01-2,commercial,HMDB0062484,HMDB0062484,7213,7213,CP1
138,metabolite,benzoic acid,"3,5-dimethoxybenzoic acid   ","3,5-dimethoxybenzoic acid","3,5-dimethoxybenzoic acid","3,5-dimethoxybenzoic acid",IWPZKOJSYQZABD-UHFFFAOYSA-N,IWPZKOJSYQZABD-UHFFFAOYSA-N,182.057909,C9H10O4,C9H10O4,182.175,182.175,1132-21-4,1132-21-4,commercial,HMDB0127495,HMDB0127495,14332,14332,CP1
374,metabolite,phenylacetic acid,hydroxyphenylacetic acid   ,mandelic acid,2-hydroxy-2-phenylacetic acid,2-hydroxy-2-phenylacetic acid,IWYDHOAUDWTVEP-UHFFFAOYSA-N,IWYDHOAUDWTVEP-UHFFFAOYSA-N,152.0473441,C8H8O3,C8H8O3,152.15,152.15,90-64-2,90-64-2,commercial,HMDB0000703,HMDB0000703,1292,1292,CP1
307,metabolite,flavonol,kaempferol   , Rhamnolutein,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one","3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",IYRMWMYZSQPJKC-UHFFFAOYSA-N,IYRMWMYZSQPJKC-UHFFFAOYSA-N,286.0477381,C15H10O6,C15H10O6,286.23,286.23,520-18-3,520-18-3,commercial,HMDB0005801,HMDB0005801,5280863,5280863,CP1
44,Fed,Avenanthramide,Avenanthramide 2s,N/A,"5-hydroxy-2-[[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]amino]benzoic acid","5-hydroxy-2-[[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]amino]benzoic acid",IYRNSMDETLBKHB-ZZXKWVIFSA-N,IYRNSMDETLBKHB-ZZXKWVIFSA-N,359.100502,C18H17NO7,C18H17NO7,359.3,359.3,NO CAS,NO CAS,data not pulled from DB,HMDB0029286,HMDB0029286,11024779,11024779,CP05
305,metabolite,flavonol,3-methylquercetin   ,Isorhamnetin,"3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one","3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one",IZQSVPBOUDKVDZ-UHFFFAOYSA-N,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,316.0583027,C16H12O7,C16H12O7,316.2623,316.2623,480-19-3,480-19-3,commercial,HMDB0002655,HMDB0002655,5281654,5281654,CP1
197,Metabolite,apigenin metabolites,Apigenin-7-O-glucuronide,Apigenin 7-glucuronide,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylic acid",JBFOLLJCGUCDQP-ZFORQUDYSA-N,JBFOLLJCGUCDQP-ZFORQUDYSA-N,446.0849114,C21H18O11,C21H18O11,446.361,446.361,29741-09-1,29741-09-1,Commercial,HMDB0240480,HMDB0240480,5319484  ,5319484  ,CP03
194,Metabolite,quercetin metabolites,Quercetin-7-sulfate,Quercetin 7-O-Sulfate,"[2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-4-oxochromen-7-yl] hydrogen sulfate","[2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-4-oxochromen-7-yl] hydrogen sulfate",JBZKUBCDMZUWNG-UHFFFAOYSA-N,JBZKUBCDMZUWNG-UHFFFAOYSA-N,381.999468,C15H10O10S,C15H10O10S,382.3,382.3,No CAS,No CAS,Commercial,N/A,N/A,10022760  ,10022760  ,CP03
57,Daidzein Metabolite,Daidzein Metabolite,O-desmethylangolensin,"2,4-Dihydroxyphenyl p-hydroxyphenethyl ketone","1-(2,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one","1-(2,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one",JDJPNKPFDDUBFV-UHFFFAOYSA-N,JDJPNKPFDDUBFV-UHFFFAOYSA-N,258.089209,C15H14O4,C15H14O4,258.269,258.269,21255-69-6,21255-69-6,Not Established,HMDB0004629,HMDB0004629,89472 ,89472 ,CP2
204,Metabolite,luteolin metabolites,Luteolin-3-O-glucuronide,Luteolin 3'-glucuronide,"(2S,3S,4S,5R,6S)-6-[5-(5,7-dihydroxy-4-oxochromen-2-yl)-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[5-(5,7-dihydroxy-4-oxochromen-2-yl)-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",JDOFZOKGCYYUER-ZFORQUDYSA-N,JDOFZOKGCYYUER-ZFORQUDYSA-N,462.079826,C21H18O12,C21H18O12,462.363,462.363,53527-42-7,53527-42-7,Commercial,HMDB0240540,HMDB0240540,10253785 ,10253785 ,CP03
131,Fed,flavonol,rhamnetin,7-O-Methylquercetin,"2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-7-methoxychromen-4-one","2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-7-methoxychromen-4-one",JGUZGNYPMHHYRK-UHFFFAOYSA-N ,JGUZGNYPMHHYRK-UHFFFAOYSA-N,316.058303,C16H12O7,C16H12O7,316.26,316.26,90-19-7,90-19-7,Commercial,N/A,N/A,5281691,5281691,CP03
56,Daidzein Metabolite,Daidzein Metabolite,dihydrodaidzein,(+/-)-dihydrodaidzein,"7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one","7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",JHYXBPPMXZIHKG-UHFFFAOYSA-N,JHYXBPPMXZIHKG-UHFFFAOYSA-N,256.073559,C15H12O4,C15H12O4,256.25,256.25,17238-05-0,17238-05-0,Not Established,HMDB0005760,HMDB0005760,176907 ,176907 ,CP2
53,Genistein Metabolite,Genistein Metabolite,genistein-7-glucuronide,N/A,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[5-hydroxy-3-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[5-hydroxy-3-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylic acid",JIVINIISUDEORF-ZFORQUDYSA-N,JIVINIISUDEORF-ZFORQUDYSA-N,446.084911,C21H18O11,C21H18O11,446.4,446.4,38482-81-4,38482-81-4,Not Established,N/A,N/A,15940724,15940724,CP2
58,metabolite,benzaldehyde,2-hydroxy-3-methoxybenzaldehyde,o-vanillin; 2-Vanillin,2-hydroxy-3-methoxybenzaldehyde,2-hydroxy-3-methoxybenzaldehyde,JJVNINGBHGBWJH-UHFFFAOYSA-N,JJVNINGBHGBWJH-UHFFFAOYSA-N,152.047344,C8H8O3,C8H8O3,152.15,152.15,148-53-8,148-53-8,commercial,N/A,N/A,8991,8991,CP1
13,metabolite,anthocyanin,delphinidin,delphinidin; delphinidin Chloride,"2-(3,4,5-trihydroxyphenyl)chromenylium-3,5,7-triol;chloride","2-(3,4,5-trihydroxyphenyl)chromenylium-3,5,7-triol",FFNDMZIBVDSQFI-UHFFFAOYSA-N,JKHRCGUTYDNCLE-UHFFFAOYSA-O,338.69,C15H11ClO7,C15H11O7+,338.7,303.24,528-53-0,NA,commercial,HMDB0130399,HMDB0130399,68245,128853,CP1
43,Estradiol Metabolites,Estradiol Metabolites,Estrone sulfate,Estrone hydrogen sulfate,"[(8R,9S,13S,14S)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] hydrogen sulfate ","[(8R,9S,13S,14S)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] hydrogen sulfate ",JKKFKPJIXZFSSB-CBZIJGRNSA-N ,JKKFKPJIXZFSSB-CBZIJGRNSA-N ,350.118795,C18H22O5S,C18H22O5S,350.4,350.4,481-97-0,481-97-0,Not Established,HMDB0001425,HMDB0001425,3001028 ,3001028 ,CP2
220,metabolite,cinnamalcohol,4-hydroxy-3-methoxycinnamic Alcohol,coniferyl alcohol,4-[(E)-3-hydroxyprop-1-enyl]-2-methoxyphenol,4-[(E)-3-hydroxyprop-1-enyl]-2-methoxyphenol,JMFRWRFFLBVWSI-NSCUHMNNSA-N,JMFRWRFFLBVWSI-NSCUHMNNSA-N,180.0786443,C10H12O3,C10H12O3,180.2,180.2,458-35-5,458-35-5,commercial,HMDB0012915,HMDB0012915,1549095,1549095,CP1
147,metabolite,benzoic acid,"4-hydroxy-3,5-dimethoxybenzoic acid   ","3,5-dimethoxy-4-hydroxybenzoic acid; syringic acid","4-hydroxy-3,5-dimethoxybenzoic acid","4-hydroxy-3,5-dimethoxybenzoic acid",WBIZZNFQJPOKDK-UHFFFAOYSA-N,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,198.0528234,C9H10O5,C9H10O5,198.17,198.17,530-57-4,530-57-4,commercial,HMDB02085,HMDB02085,10742,10742,CP1
200,Metabolite,myricetin metabolites,"Myricetin 3,7-diglucuronide",n/a,"(3S,4S,6S)-6-[3-[(2S,5S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxy-5-hydroxy-4-oxo-2-(3,4,5-trihydroxyphenyl)chromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid","(3S,4S,6S)-6-[3-[(2S,5S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxy-5-hydroxy-4-oxo-2-(3,4,5-trihydroxyphenyl)chromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",JONQSBBWXLTYCR-QPVOSLSQSA-N,JONQSBBWXLTYCR-QPVOSLSQSA-N,670.101743,C27H26O20,C27H26O20,670.5,670.5,No CAS,No CAS,Commercial,N/A,N/A,44259448,44259448,CP03
92,Fed, flavonol,kaempferol-3-O-galactoside,Trifolin,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one","5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",JPUKWEQWGBDDQB-DTGCRPNFSA-N,JPUKWEQWGBDDQB-DTGCRPNFSA-N,448.100561,C21H20O11,C21H20O11,448.4,448.4,23627-87-4,23627-87-4,Commercial,HMDB0030864,HMDB0030864,5282149,5282149,CP03
302,metabolite,flavonol,kaempferol-3-O-glucoside,Astragalin; Kae-O-gluc,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one","5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",JPUKWEQWGBDDQB-QSOFNFLRSA-N,JPUKWEQWGBDDQB-QSOFNFLRSA-N,448.1005615,C21H20O11,C21H20O11,448.38,448.38,480-10-4,480-10-4,commercial,HMDB0037429,HMDB0037429,5282102,5282102,CP1
168,Metabolite,epicatechin metabolites,4-O-methyl-(-)-epicatechin-5-sulfate,4'-O-methyl-(-)-epicatechin-5-sulfate; 4'-Methylepicatechin-5-Sulfate,"[(2R,3R)-3,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-chromen-5-yl] hydrogen sulfate","[(2R,3R)-3,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-chromen-5-yl] hydrogen sulfate",JSNCQMRECHVQQQ-MLGOLLRUSA-N,JSNCQMRECHVQQQ-MLGOLLRUSA-N,384.051503,C16H16O9S,C16H16O9S,384.4,384.4,1383626-03-6,1383626-03-6,Commercial,HMDB0240468,HMDB0240468,71579213 ,71579213 ,CP03
